,Anime,Year_released,Status,Episodes,Total_size_GB,Total_duration_mins,Average_size_mb,Average_time_mins
0,Ao No Exorcist,2011,Completed,37,3.15,888,7.2,24
1,Attack On Titan,2013,On Going,75,7.37,1763,100.64,23.51
2,Ajin Demi Human,2016,Completed,26,2.07,595,84.67,23.8
3,Aho Girl,2017,Completed,12,0.7,144,59.4,12
4,Aokana Four Rhythm Across The Blue,2016,Completed,12,0.94,276,80.09,23
5,Anohana,2011,Completed,11,0.99,256,91.75,23.27
6,Assassins Pride,2019,Completed,12,1.04,283,88.59,23.58
7,Ao Haru Ride,2014,Completed,13,1.05,274,89.39,22.83
8,Ahiru no Sora,2019,On Going,70,6.15,1679,89.91,23.99
9,Air Gear,2006,Completed,25,2.28,576,93.35,23.04
10,Ansatsu Kyoushitsu,2015,Completed,47,3.99,1036,86.86,22.04
11,Black Clover,2017,On Going,234,20.06,5382,87.79,23
12,Baki The Grappler,2001,Completed,48,3.98,1153,84.96,24.02
13,Berserk,1997,Completed,25,1.97,575,80.73,23
14,Berserk 2016,2016,Completed,24,2.01,575,85.58,23.96
15,Babylon,2019,On Going,12,1.1,282,93.94,23.5
16,Beyblade Burst,2015,On Going,72,6.02,1678,85.57,23.31
17,Boruto Naruto Next Generation,2017,On Going,215,19.01,5046,90.39,23
18,Beyblade Burst Gachi,2019,On Going,74,5.05,863,71.8,11.99
19,Bungo Stray Dogs,2016,Completed,37,3.11,828,88.5,23
20,Bem,2019,On Going,12,1.12,276,95.92,23
21,Clannad,2007,Completed,49,4.33,1170,90.39,23.88
22,Charlotte,2015,Completed,13,0.78,312,61.58,24
23,Captain Tsubasa 2018,2018,On Going,52,4.6,1232,90.55,23.69
24,Campione,2012,On Going,13,1.46,305,115.07,23.46
25,Dr. Stone,2019,On Going,35,3.1,840,90.66,24
26,Detective Conan,1996,On Going,590,12.92,3664,83.74,23.19
27,Denpa Kyoushi,2015,Completed,24,2.04,552,87.04,23
28,Diamond No Ace ll,2019,Completed,74,6.59,1774,91.17,23.97
29,Darker Than Black,2007,Completed,42,3.38,934,82.4,22.24
30,Darling In The Franxx,2018,Completed,24,2.09,576,89.28,24
31,Dragon Ball Super,unknown,unknown,unknown,unknown,unknown,unknown,unknown
32,DanMachi,2015,Completed,38,3.27,872,90.45,23.57
33,Diamond No Ace,2013,Completed,237,20.97,5681,90.59,23.97
34,Domestic Na Kanojo,2019,Completed,12,1.05,299,90,24.92
35,Dragon Ball Heroes,2018,On Going,37,2.78,328,76.9,8.86
36,Endride,2016,On Going,24,1.87,526,79.63,21.92
37,Enen No Shouboutai,2019,On Going,48,4.25,1128,90.77,23.5
38,Food Wars,2015,Completed,86,7.25,2039,86.38,23.71
39,Fairy Tail Final,2009,Completed,72,6.33,1656,89.97,23
40,Fullmetal Alchemist,2004,Completed,72,6.03,1658,85.81,23.03
41,Fukigen na Mononokean,2016,On Going,13,1.08,299,84.68,23
42,Fullmetal Alchemist Brotherhood,2010,Completed,110,9.22,2635,85.83,23.95
43,Fruits Basket,2001,Completed,63,5.55,1449,90.18,23
44,God Eater,2015,Completed,13,1.12,299,88.32,23
45,Gintama,2004,Complete,367,30.85,8752,86.08,23.85
46,Gintama 2017,2017,Complete,51,4.35,1220,87.26,23.92
47,Horimiya,2021,On Going,13,1.14,299,89.97,23
48,Hataraku Maou Sama,2013,Completed,13,1.44,301,113.4,23.15
49,Hitori no Shita The Outcast,2016,Completed,45,3.89,1027,88.46,22.82
50,Haikyuu,2014,Completed,85,7.5,2015,90.41,23.71
51,High School DxD,2016,Complete,49,4.6,1153,96.07,23.53
52,Isuca,2015,Completed,10,0.8,230,82.23,23
53,ID:Invaded,2020,On Going,13,1.17,312,92.25,24
54,Ichiban Ushiro No Daimaou,2010,Completed,12,1.37,278,116.54,23.17
55,Japan Animator Expo,2014,Completed,40,1.42,313,36.38,7.83
56,Jujutsu Kaisen,2020,On Going,24,2.13,552,90.69,23
57,JoJos Bizarre Adventure Diamond Is Unbreakable,2016,On Going,20,1.66,460,85.07,23
58,Kakegurui,2017,On Going,24,2.23,576,94.94,24
59,Kimi No Iru Machi,2013,Completed,12,1.14,240,97.06,20
60,Kami no Tou,2020,On Going,13,1.12,301,88.33,23.15
61,Kanojo Okarishimasu,2020,Completed,12,1.07,287,91.02,23.92
62,Kaichou Wa Maid Sama,2010,Completed,27,2.49,636,94.45,23.56
63,Kiseiju Sei no Kakuritsu,2014,Completed,24,2.03,528,86.52,22
64,Kaguya-sama: Love Is War,2019,On Going,24,2.12,577,90.44,24.04
65,Katekyo Hitman Reborn,2006,Completed,217,18.3,4974,86.34,22.92
66,Kengan Ashura,2019,Completed,12,1.05,271,97.74,24.64
67,Kenja No Mago,2019,On Going,12,1.04,276,88.76,23
68,Kiba,2006,Complete,72,6.59,1730,93.73,24.03
69,Kimetsu No Yaiba,2019,On Going,26,2.21,599,87.14,23.04
70,Lupin 3,2015,Complete,24,1.87,530,79.86,22.08
71,Magi,2012,Completed,63,5.71,1497,92.85,23.76
72,Maoyuu Maou Yuusha,2019,Completed..,13,1.07,299,84.44,23
73,Mobile Suit Gundam Iron Blooded Orphans,2015,On Going,50,4.13,1176,86.29,24
74,Mob Psycho 100,2016,Completed,25,2.18,600,89.46,24
75,Magical Sempai,2019,Completed,12,0.86,144,73.3,12
76,Mahouka Koukou no Rettousei,2014,Completed,39,3.91,899,102.59,23.05
77,Mushoku Tensei Isekai Ittara Honki Dasu,2021,On Going,11,0.97,253,90.23,23
78,Maou Gakuin no Futekigousha Shijou,2020,Completed,13,1.12,299,87.94,23
79,Maken Ki,2011,Completed,22,1.98,520,92.04,23.64
80,My Hero Academia,2016,On Going,112,9.59,2589,87.66,23.12
81,Noblesse,2020,Completed,13,1.44,299,113.04,23
82,No Guns Life,2014,Completed,24,2.43,552,103.7,23
83,Naruto Shippuden,2009,On Going,434,33.54,9176,86.07,23
84,Naruto,2005,Completed,290,22.98,6581,82.28,23.01
85,Owari No Seraph,2015,Completed,24,2.06,552,88.01,23
86,One Piece,2004,On Going,2051,181.15,47145,90.58,23.02
87,One Punch Man,2015,On Going,25,2.17,588,88.82,23.52
88,Project Scard: Praeter no Kizu,2021,Completed,13,1.13,299,89.13,23
89,Pokemon 2019,2019,On Going,190,16.8,4372,90.53,23.01
90,Pokemon XYZ,2015,On Going,64,5.5,1527,88.06,23.86
91,Plunderer,2020,On Going,24,2.01,528,85.89,22
92,Psycho Pass,2012,Completed,41,4.24,1086,106,26.49
93,Pokemon Sun And Moon,2016,On Going,762,69.01,18279,92.74,23.99
94,Qualidea Code,2016,Complete,12,0.99,276,84.64,23
95,ReLife,2016,Completed,17,1.47,391,88.36,23
96,Radiant,2018,On Going,42,3.65,984,91.18,24
97,Re Zero Starting Life in Another World,2016,Complete,50,4.62,1289,94.71,25.78
98,Sword Art Online Alicization,2018,On Going,25,2.24,599,91.55,23.96
99,Shigatsu wa Kimi no Uso,2014,Completed,22,1.86,484,86.77,22
100,Sword Art Online,2012,Complete,25,2.15,577,88.02,23.08
101,Sword Art Online 2,2014,Complete,24,2.1,552,89.7,23
102,Sousei No Onmyouji,2016,Completed,70,6.31,1678,92.35,23.97
103,Sword Art Online Alternative Gun Gale Online,2018,Completed,13,1.18,299,92.92,23
104,Tokyo Revengers,2021,On Going,24,2.14,554,91.32,23.08
105,The Seven Deadly Sins Dragons Judgement,2021,Completed,24,2.15,575,91.56,23.96
106,The Seven Deadly Sins,2015,Completed,28,2.49,672,90.97,24
107,The God Of High School,2020,On Going,13,1.09,299,86.17,23
108,Tales of Zestiria the X,2016,Completed,26,2.25,598,88.75,23
109,The Seven Deadly Sins Revival Of The Commandments,2018,Completed,25,2.07,600,84.65,24
110,Toradora,2008,Completed,25,2.28,577,93.51,23.08
111,The Seven Deadly Sins Wrath of the Gods,2019,Completed,24,2.19,575,93.39,23.96
112,Tate No Yuusha No Nariagari,2019,Completed,25,2.23,597,91.2,23.88
113,Tokyo Ravens,2013,Completed,24,2.25,552,96.04,23
114,Tensei Shitara Slime Datta Ken,2018,On Going,49,4.35,1127,90.85,23
115,Tokyo Ghoul,2014,Complete,12,0.98,290,83.44,24.17
